Sl. No.,State/UT,2018 - Dengue - Cases,2018 - Chikungunya - Suspected,2018 - Chikungunya - Confirmed,2019 - Dengue - Cases,2019 - Chikungunya - Suspected,2019 - Chikungunya - Confirmed,2020 - Dengue - Cases,2020 - Chikungunya - Suspected,2020 - Chikungunya - Confirmed,2021 (Prov till 5th Dec.) - Dengue - Cases,2021 (Prov till 5th Dec.) - Chikungunya - Suspected,2021 (Prov till 5th Dec.) - Chikungunya - Confirmed
1,Andhra Pradesh,4011,622,79,5286,832,88,925,318,28,4214,609,44
2,Arunachal Pradesh,1,507,1,123,332,55,1,0,0,3,0,0
3,Assam,166,3,3,196,0,0,33,0,0,87,2,2
4,Bihar,2142,156,156,6712,594,594,493,38,38,614,39,39
5,Chhattisgarh,2674,NA,NA,722,NA,NA,57,NA,NA,967,NA,NA
6,Goa,335,455,77,992,867,366,376,64,15,1173,105,10
7,Gujarat,7579,10601,1290,18219,8084,669,1564,8120,1061,10230,28718,3456
8,Haryana,1898,62,3,1207,0,0,1377,930,14,11493,741,21
9,Himachal Pradesh,4672,NA,NA,344,NA,NA,21,NA,NA,339,NA,NA
10,Jharkhand,463,3405,851,825,1691,169,79,627,157,190,980,182
11,Karnataka,4427,20411,2546,16986,43698,3664,3823,16111,1326,6345,34197,1901
12,Kerala,4083,77,77,4652,109,109,4399,2302,752,3794,2449,423
13,Madhya Pradesh,4506,3211,1609,4189,2749,756,806,1871,133,14756,3643,336
14,Meghalaya,44,44,2,82,114,48,4,3,0,128,0,0
15,Maharashtra,11011,9884,1009,14907,5158,1646,3356,4258,782,11532,17803,2275
16,Manipur,14,2,0,359,40,3,37,0,0,179,0,0
17,Mizoram,68,93,10,42,0,0,67,34,0,58,0,0
18,Nagaland,369,NA,NA,8,NA,NA,1,NA,NA,19,NA,NA
19,Odisha,5198,0,0,3758,242,21,496,15,2,7340,0,0
20,Punjab,14980,736,25,10289,372,11,8435,25,0,23024,526,118
21,Rajasthan,9587,254,254,13706,365,365,2023,1015,1015,19633,1096,1096
22,Sikkim,320,384,28,444,1126,95,11,253,13,210,413,29
23,Tamil Nadu,4486,284,284,8527,623,623,2410,1461,224,4730,123,123
24,Tripura,100,683,75,114,1105,125,24,454,27,165,881,18
25,Telangana,4592,1954,489,13331,5352,1358,2173,364,183,6442,164,66
26,Uttar Pradesh,3829,58,58,10557,72,72,3715,53,53,28945,54,54
27,Uttarakhand,689,29,7,10622,1,1,76,0,0,737,3,1
28,West Bengal,23301,52,23,47928,0,0,5166,391,82,2878,154,20
29,Andaman & Nicobar Islands,49,205,27,168,702,53,98,610,16,162,187,0
30,Chandigarh,301,357,4,286,82,0,265,0,0,1506,3,3
31,Delhi,7136,407,407,5077,520,520,1269,126,126,12182,112,112
32,Dadra & Nagar Haveli,493,0,0,1491,0,0,248,0,0,513,0,0
NA,Daman & Diu,163,NA,NA,625,NA,NA,71,NA,NA,266,NA,NA
33,Jammu & Kashmir,214,1,1,439,0,0,53,1,1,1613,1,1
34,Ladakh,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,592,2876,361,2030,7084,794,633,3980,276,1228,5935,223
Total,Total,124493,57813,9756,205243,81914,12205,44585,43424,6324,177695,98938,10553
