Sl.No,State,"In 2015","In 2016","In 2017"
1,"Andhra Pradesh",137294,150249,172666
2,"Arunachal Pradesh",76,76,93
3,Assam,3760,4504,5704
4,Bihar,28410,34455,43424
5,Chandigarh,4232,4550,5637
6,Chhattisgarh,8066,9867,12404
7,Delhi,20367,22717,26498
8,Goa,2313,2495,2817
9,Gujarat,47362,53226,61540
10,Haryana,6037,7369,10739
11,"Himachal Pradesh",3108,3464,3913
12,"Jammu and Kashmir",1773,1968,2311
13,Jharkhand,6650,7577,8730
14,Karnataka,125807,136323,152841
15,Kerala,10406,11420,12659
16,"Madhya Pradesh",15260,18216,21851
17,Maharashtra,166826,180450,202315
18,Manipur,10134,11207,12309
19,Meghalaya,861,1179,1725
20,Mizoram,4053,4964,6623
21,Mumbai,30932,33612,36699
22,Nagaland,5288,5927,7289
23,Odisha,11716,13658,16744
24,Pondicherry,1038,1157,1192
25,Punjab,17783,21487,26841
26,Rajasthan,25995,29968,35943
27,Sikkim,120,151,167
28,"Tamil Nadu",90979,100092,111506
29,Telangana,60342,65069,73360
30,Tripura,734,912,1174
31,"Uttar Pradesh",44284,53269,64999
32,Uttarakhand,2487,2815,3476
33,"West Bengal",24648,29247,34832
