"Sl. No.",State/UT,"2018 (Jan to Dec)","2019 (Jan to Dec)","2020 (Jan to Dec)"
1,"Andaman and Nicobar Islands",558,587,478
2,"Andhra Pradesh",91124,98869,64065
3,"Arunachal Pradesh",3419,2938,2522
4,Assam,42896,48669,35261
5,Bihar,104930,122671,98994
6,Chandigarh,5696,7026,4294
7,Chhattisgarh,43031,43718,29339
8,"Dadra and Nagar Haveli",849,937,965
9,"Daman and Diu",497,560,NA
10,Delhi,93580,107982,86842
11,Goa,2492,2410,1660
12,Gujarat,154551,159158,120560
13,Haryana,65748,73997,62697
14,"Himachal Pradesh",16485,17446,13424
15,"Jammu and Kashmir",12895,11860,8830
16,Jharkhand,48488,56632,45505
17,Karnataka,83094,91703,65785
18,Kerala,24557,25617,20835
19,Ladakh,NA,NA,239
20,Lakshadweep,19,15,20
21,"Madhya Pradesh",160144,187407,137648
22,Maharashtra,209642,227348,159663
23,Manipur,2927,2553,1563
24,Meghalaya,4867,5528,4139
25,Mizoram,2570,2944,2334
26,Nagaland,4269,4794,3487
27,Odisha,50303,53612,45628
28,Puducherry,3489,4606,2762
29,Punjab,54401,58204,46198
30,Rajasthan,160168,175218,137343
31,Sikkim,1438,1432,1326
32,"Tamil Nadu",104917,110845,70304
33,Telangana,52330,71655,63209
34,Tripura,2579,2761,2071
35,"Uttar Pradesh",420434,486385,366641
36,Uttarakhand,22362,26060,20000
37,"West Bengal",104145,110668,79039
Total,Total,2155894,2404815,1805670
